x,y,name
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
-3479107.80735,3000800.18571,
12042.1338027,-1041.6284432,
8571.85240359,-3699.92116218,'Mostra d'Art *Plaça de Sarrià'
11721.7234293,-888.906275735,'Mostra de Pintors Afeccionats *Pl Sagrada Família'
8571.85240359,-3699.92116218,'Fira de Brocanters *Plaça de Sarrià'
11444.9655508,-2956.4808098,'Mostra d'Art *Park Guell'
-68791.2184918,38058.6424563,'HEINEKEN ESPAÑA S.A.'
10965.0464121,1050.78370915,'Forn El Yayo Joaquín'
-68791.2184918,38058.6424563,'COALIMENT'
-68791.2184918,38058.6424563,'GONZALES BYASS S.A.'
12356.1966963,1452.9528867,'Centre Comercial El Centre de la Vila'
-68791.2184918,38058.6424563,'EURINOX SA'
-68791.2184918,38058.6424563,'HIMEL SA HISPANO MECANICO ELECTRI'
-68791.2184918,38058.6424563,'IFM Electrònic'
-68791.2184918,38058.6424563,'IBERICA S.A. COMERCIALITZACIO PINTURES'
-68791.2184918,38058.6424563,'Botiga Ikea *Badalona'
-68791.2184918,38058.6424563,'MAQUINOTEL ASDOR SL RIPOLLET'
-68791.2184918,38058.6424563,'ROMAG SA RIPOLLET'
-68791.2184918,38058.6424563,'LOGIC CONTROL'
-68791.2184918,38058.6424563,"'BEL INFORMATICA, S.L.'"
-68791.2184918,38058.6424563,"'GLENOIT INDUSTRIES, S.L.'"
-68791.2184918,38058.6424563,'PRODUCTES PARES SA'
-68791.2184918,38058.6424563,'WAGNER SPRATECH IBERICA SA'
-68791.2184918,38058.6424563,'TRANSPORTS GACELA MASAGUE SL'
-68791.2184918,38058.6424563,'BARCELONA MODA CENTRE'
-68791.2184918,38058.6424563,'Ici Autocolor España'
-68791.2184918,38058.6424563,"'GRUPO INFORMATICO CATALANO ARAGONES, S.A'"
-68791.2184918,38058.6424563,'OLITECNIC'
-68791.2184918,38058.6424563,'PERSIST'
-68791.2184918,38058.6424563,'Botiga Toys'r'us *Sant Boi de Llobregat'
8515.79673547,-2147.86805848,'Botiga FNAC *Illa Diagonal'
-68791.2184918,38058.6424563,"'CORTINER, SA'"
14094.0985549,134.612552973,"'El Corte Inglés, S.A.'"
-68791.2184918,38058.6424563,'NATURANA IBERICA SA'
-68791.2184918,38058.6424563,"'Eurocar 93, s.a'"
14187.7058538,-4624.8918297,'Petit Mercat de Canyelles'
-68791.2184918,38058.6424563,'Rai Pinturas'
-68791.2184918,38058.6424563,"'Pinturas i Suministros Montcada, s.l.'"
-68791.2184918,38058.6424563,'Comercial Recio'
-68791.2184918,38058.6424563,"'Segafredo Zanetti España, s.a.'"
-68791.2184918,38058.6424563,"'Sandeman Coprimar, s.a.'"
-68791.2184918,38058.6424563,"'Sudecol, s.l.'"
-68791.2184918,38058.6424563,"'Herbal Hispania, s.l.'"
